DATE,PRICE
5/1/22,380.524
6/1/22,318.162
7/1/22,326.635
8/1/22,312.67
9/1/22,302.983
10/1/22,294.428
11/1/22,287.013
12/1/22,269.603
1/1/23,260.081
2/1/23,257.007
3/1/23,249.374
4/1/23,257.669
5/1/23,253.493
6/1/23,257.58
7/1/23,269.892
8/1/23,258.261
9/1/23,261.265
