DATE,PRICE
3/1/84,107.1
4/1/84,104.9
5/1/84,101.4
6/1/84,101.8
7/1/84,102.2
8/1/84,106
9/1/84,104.9
10/1/84,103.4
11/1/84,101.2
12/1/84,101.6
1/1/85,100.9
2/1/85,97.6
3/1/85,96.3
4/1/85,96
5/1/85,100.1
6/1/85,102.2
7/1/85,102
8/1/85,102.4
9/1/85,99.2
10/1/85,100.8
11/1/85,99
12/1/85,99.4
1/1/86,98.9
2/1/86,98.5
3/1/86,100.6
4/1/86,105.3
5/1/86,103.3
6/1/86,101.5
7/1/86,101.6
8/1/86,101.3
9/1/86,101.6
10/1/86,101.9
11/1/86,101.3
12/1/86,100.6
1/1/87,100.5
2/1/87,102.3
3/1/87,103.4
4/1/87,101.1
5/1/87,99.3
6/1/87,98.8
7/1/87,100.3
8/1/87,102.8
9/1/87,107.4
10/1/87,104.6
11/1/87,105.9
12/1/87,104.2
1/1/88,105.3
2/1/88,104.4
3/1/88,103.4
4/1/88,102.1
5/1/88,100.3
6/1/88,102.2
7/1/88,105.3
8/1/88,100.3
9/1/88,106.3
10/1/88,103.1
11/1/88,103.6
12/1/88,104.7
1/1/89,105.9
2/1/89,109.9
3/1/89,111.1
4/1/89,111.3
5/1/89,113.4
6/1/89,113.4
7/1/89,118.4
8/1/89,115.2
9/1/89,118.5
10/1/89,127.6
11/1/89,128.7
12/1/89,116.9
1/1/90,114.3
2/1/90,115.8
3/1/90,116.1
4/1/90,125.3
5/1/90,122.7
6/1/90,115.8
7/1/90,117.6
8/1/90,112.6
9/1/90,111.3
10/1/90,106.8
11/1/90,105.7
12/1/90,106.7
1/1/91,104
2/1/91,102.7
3/1/91,105.4
4/1/91,106.9
5/1/91,118.9
6/1/91,129.3
7/1/91,130
8/1/91,114.4
9/1/91,116.2
10/1/91,112.6
11/1/91,114.3
12/1/91,116.4
1/1/92,119.5
2/1/92,132.2
3/1/92,135.3
4/1/92,132.2
5/1/92,130.1
6/1/92,128.8
7/1/92,125.2
8/1/92,128.8
9/1/92,143.5
10/1/92,140.3
11/1/92,138
12/1/92,145.8
1/1/93,154.9
2/1/93,164.8
